timestamp,src_ip,dst_ip,protocol,length
2026-06-03 17:59:40.154910,192.168.1.21,192.168.1.1,UDP,116
2026-06-03 17:59:40.156721,192.168.1.1,192.168.1.21,UDP,198
2026-06-03 17:59:40.160971,192.168.1.21,34.120.208.123,TCP,74
2026-06-03 17:59:40.413260,34.120.208.123,192.168.1.21,TCP,74
2026-06-03 17:59:40.417772,192.168.1.21,34.120.208.123,TCP,66
2026-06-03 17:59:40.426829,192.168.1.21,34.120.208.123,TCP,281
2026-06-03 17:59:40.431432,34.120.208.123,192.168.1.21,TCP,66
2026-06-03 17:59:40.443296,34.120.208.123,192.168.1.21,TCP,2842
2026-06-03 17:59:40.447509,192.168.1.21,34.120.208.123,TCP,66
2026-06-03 17:59:40.472655,34.120.208.123,192.168.1.21,TCP,717
2026-06-03 17:59:40.476997,192.168.1.21,34.120.208.123,TCP,66
2026-06-03 17:59:40.670110,192.168.1.21,34.120.208.123,TCP,159
2026-06-03 17:59:40.675817,34.120.208.123,192.168.1.21,TCP,377
2026-06-03 17:59:40.680747,34.120.208.123,192.168.1.21,TCP,135
2026-06-03 17:59:40.685009,192.168.1.21,34.120.208.123,TCP,66
2026-06-03 17:59:40.689404,192.168.1.21,34.120.208.123,TCP,165
2026-06-03 17:59:40.693988,192.168.1.21,34.120.208.123,TCP,393
2026-06-03 17:59:40.700913,192.168.1.21,34.120.208.123,TCP,1454
2026-06-03 17:59:40.707143,192.168.1.21,34.120.208.123,TCP,1454
2026-06-03 17:59:40.719281,192.168.1.21,34.120.208.123,TCP,825
2026-06-03 17:59:40.724449,192.168.1.21,34.120.208.123,TCP,104
2026-06-03 17:59:40.730078,34.120.208.123,192.168.1.21,TCP,66
2026-06-03 17:59:40.734687,34.120.208.123,192.168.1.21,TCP,104
2026-06-03 17:59:40.739104,34.120.208.123,192.168.1.21,TCP,66
2026-06-03 17:59:40.743946,34.120.208.123,192.168.1.21,TCP,66
2026-06-03 17:59:40.748289,34.120.208.123,192.168.1.21,TCP,66
2026-06-03 17:59:40.752796,192.168.1.21,34.120.208.123,TCP,66
2026-06-03 17:59:40.924913,34.120.208.123,192.168.1.21,TCP,522
2026-06-03 17:59:40.929413,192.168.1.21,34.120.208.123,TCP,66
2026-06-03 17:59:40.934385,34.120.208.123,192.168.1.21,TCP,202
2026-06-03 17:59:40.939235,192.168.1.21,34.120.208.123,TCP,66
2026-06-03 17:59:40.944184,34.120.208.123,192.168.1.21,TCP,112
2026-06-03 17:59:40.948645,192.168.1.21,34.120.208.123,TCP,66
2026-06-03 17:59:40.953029,192.168.1.21,34.120.208.123,TCP,112
2026-06-03 17:59:41.181013,34.120.208.123,192.168.1.21,TCP,66
2026-06-03 17:59:46.301659,192.168.1.21,142.251.223.10,TCP,105
2026-06-03 17:59:46.306464,142.251.223.10,192.168.1.21,TCP,105
2026-06-03 17:59:46.311505,192.168.1.21,142.251.223.10,TCP,66
2026-06-03 17:59:46.324205,192.168.1.21,142.250.205.78,TCP,1454
2026-06-03 17:59:46.331518,192.168.1.21,142.250.205.78,TCP,1454
2026-06-03 17:59:46.343694,192.168.1.21,142.250.205.78,TCP,743
2026-06-03 17:59:46.558044,192.168.1.21,142.250.205.78,TCP,323
2026-06-03 17:59:46.562854,142.250.205.78,192.168.1.21,TCP,66
2026-06-03 17:59:46.567399,142.250.205.78,192.168.1.21,TCP,66
2026-06-03 17:59:46.571980,142.250.205.78,192.168.1.21,TCP,66
2026-06-03 17:59:46.576242,142.250.205.78,192.168.1.21,TCP,66
2026-06-03 17:59:46.580722,142.250.205.78,192.168.1.21,TCP,156
2026-06-03 17:59:46.584878,192.168.1.21,142.250.205.78,TCP,105
2026-06-03 17:59:46.588923,142.250.205.78,192.168.1.21,TCP,66
2026-06-03 17:59:46.815240,192.168.1.21,172.64.148.235,TCP,154
2026-06-03 17:59:46.817319,192.168.1.21,142.251.220.106,UDP,71
2026-06-03 17:59:46.824970,172.64.148.235,192.168.1.21,TCP,66
2026-06-03 17:59:46.827339,142.251.220.106,192.168.1.21,UDP,74
2026-06-03 17:59:47.069500,172.64.148.235,192.168.1.21,TCP,145
2026-06-03 17:59:47.324929,192.168.1.21,172.64.148.235,TCP,66
2026-06-03 17:59:52.186691,142.251.220.106,192.168.1.21,UDP,124
2026-06-03 17:59:52.188498,192.168.1.21,142.251.220.106,UDP,75
2026-06-03 17:59:52.193060,172.64.148.235,192.168.1.21,TCP,90
2026-06-03 17:59:52.197609,192.168.1.21,172.64.148.235,TCP,66
2026-06-03 17:59:52.202795,192.168.1.21,172.64.148.235,TCP,94
2026-06-03 17:59:52.207044,172.64.148.235,192.168.1.21,TCP,66
2026-06-03 17:59:53.728220,192.168.1.21,172.64.155.209,TCP,1454
2026-06-03 17:59:53.734968,192.168.1.21,172.64.155.209,TCP,1454
2026-06-03 17:59:53.741827,192.168.1.21,172.64.155.209,TCP,1454
2026-06-03 17:59:53.748244,192.168.1.21,172.64.155.209,TCP,1454
2026-06-03 17:59:53.754220,192.168.1.21,172.64.155.209,TCP,1454
2026-06-03 17:59:53.760464,192.168.1.21,172.64.155.209,TCP,1454
2026-06-03 17:59:53.766369,192.168.1.21,172.64.155.209,TCP,1454
2026-06-03 17:59:53.772325,192.168.1.21,172.64.155.209,TCP,1454
2026-06-03 17:59:53.793629,192.168.1.21,172.64.155.209,TCP,93
2026-06-03 17:59:53.797326,172.64.155.209,192.168.1.21,TCP,66
2026-06-03 17:59:53.800986,172.64.155.209,192.168.1.21,TCP,66
